,QueryNumber,1,2,3,4,5,6,7,8,9,10
0,1.0,0.0,0.0,0.0,0.0,0.0,1.5474112289381665,1.5474112289381665,1.5474112289381665,1.8628761057238954,3.0669960883798204
1,2.0,0.0,0.0,0.6309297535714575,1.1309297535714575,1.1309297535714575,1.1309297535714575,1.1309297535714575,1.1309297535714575,1.1309297535714575,1.1309297535714575
2,3.0,0.0,4.0,4.0,4.0,4.430676558073393,4.430676558073393,5.855505306505481,5.855505306505481,5.855505306505481,5.855505306505481
3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5.0,4.0,5.0,5.0,5.5,5.5,6.273705614469083,7.698534362901172,9.031867696234505,9.347332573020234,9.347332573020234
5,6.0,4.0,4.0,4.630929753571458,5.130929753571458,5.130929753571458,5.517782560805999,5.517782560805999,5.517782560805999,5.517782560805999,5.517782560805999
6,7.0,4.0,4.0,5.892789260714372,5.892789260714372,5.892789260714372,5.892789260714372,5.892789260714372,5.892789260714372,5.892789260714372,5.892789260714372
7,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812
8,9.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
9,10.0,0.0,0.0,2.52371901428583,2.52371901428583,4.246425246579403,5.793836475517569,5.793836475517569,7.127169808850902,7.442634685636631,7.442634685636631
10,11.0,4.0,5.0,6.892789260714372,6.892789260714372,6.892789260714372,7.279642067948914,7.635849255056936,7.969182588390269,7.969182588390269,7.969182588390269
11,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,13.0,3.0,4.0,6.52371901428583,6.52371901428583,6.954395572359223,6.954395572359223,6.954395572359223,6.954395572359223,6.954395572359223,6.954395572359223
13,14.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.630929753571458,6.630929753571458
14,15.0,1.0,5.0,7.52371901428583,8.523719014285831,8.954395572359225,8.954395572359225,10.379224320791314,11.04589098745798,11.04589098745798,11.04589098745798
15,16.0,1.0,5.0,5.0,6.0,6.430676558073393,7.978087787011559,9.402916535443648,9.402916535443648,9.402916535443648,9.402916535443648
16,17.0,4.0,4.0,5.892789260714372,7.892789260714372,7.892789260714372,8.666494875183457,8.666494875183457,8.666494875183457,9.297424628754914,9.297424628754914
17,18.0,3.0,6.0,6.0,7.5,8.361353116146786,9.908764345084952,10.977385906409019,10.977385906409019,11.292850783194748,11.292850783194748
18,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,20.0,4.0,5.0,7.52371901428583,9.523719014285831,10.81574868850601,11.976307110209635,12.68872148442568,13.68872148442568,14.950580991568595,16.154700974224518
20,21.0,4.0,8.0,10.523719014285831,10.523719014285831,10.523719014285831,10.523719014285831,10.523719014285831,11.857052347619165,11.857052347619165,11.857052347619165
21,22.0,2.0,3.0,3.0,3.0,3.430676558073393,4.591234979777018,5.3036493539930625,5.6369826873263955,6.267912440897853,6.5689424365618345
22,23.0,0.0,0.0,2.52371901428583,2.52371901428583,2.52371901428583,2.52371901428583,2.52371901428583,2.52371901428583,2.52371901428583,2.52371901428583
23,24.0,1.0,1.0,1.0,1.0,1.0,1.0,2.4248287484320885,3.7581620817654215,3.7581620817654215,3.7581620817654215
24,25.0,4.0,4.0,4.630929753571458,6.630929753571458,6.630929753571458,7.017782560805999,7.017782560805999,7.017782560805999,7.017782560805999,8.221902543461924
25,26.0,4.0,8.0,9.261859507142916,9.261859507142916,9.261859507142916,9.648712314377457,9.648712314377457,9.648712314377457,10.910571821520373,12.114691804176298
26,27.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
27,28.0,4.0,4.0,6.52371901428583,6.52371901428583,6.52371901428583,8.071130243223998,8.071130243223998,8.404463576557331,8.404463576557331,8.404463576557331
28,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,1.3333333333333333,1.3333333333333333
29,30.0,2.0,2.0,2.0,2.0,2.8613531161467862,3.248205923381328,3.248205923381328,3.248205923381328,3.248205923381328,3.248205923381328
30,31.0,4.0,8.0,10.523719014285831,10.523719014285831,12.246425246579403,13.793836475517569,13.793836475517569,13.793836475517569,13.793836475517569,14.997956458173494
31,32.0,4.0,8.0,8.0,8.0,8.0,8.773705614469083,8.773705614469083,8.773705614469083,8.773705614469083,8.773705614469083
32,33.0,4.0,8.0,8.630929753571458,10.630929753571458,12.35363598586503,13.514194407568654,13.870401594676677,13.870401594676677,15.132261101819592,16.336381084475516
33,34.0,4.0,8.0,10.523719014285831,12.523719014285831,12.523719014285831,14.071130243223998,14.071130243223998,14.071130243223998,14.386595120009726,15.590715102665651
