,QueryNumber,1,2,3,4,5,6,7,8,9,10
0,1.0,0.0,0.0,0.0,0.0,0.0,1.5474112289381665,1.9036184160461886,1.9036184160461886,1.9036184160461886,3.1077383987021134
1,2.0,0.0,0.0,0.6309297535714575,0.6309297535714575,1.0616063116448506,1.0616063116448506,1.0616063116448506,1.0616063116448506,1.0616063116448506,1.0616063116448506
2,3.0,4.0,4.0,6.52371901428583,6.52371901428583,6.52371901428583,6.52371901428583,6.52371901428583,6.52371901428583,6.839183891071559,6.839183891071559
3,4.0,0.0,0.0,2.52371901428583,2.52371901428583,2.52371901428583,2.52371901428583,2.52371901428583,2.52371901428583,2.52371901428583,2.52371901428583
4,5.0,4.0,5.0,5.0,5.5,5.930676558073393,7.478087787011559,7.834294974119581,7.834294974119581,8.465224727691039,9.669344710346964
5,6.0,4.0,4.0,4.630929753571458,5.130929753571458,5.130929753571458,5.517782560805999,5.517782560805999,5.517782560805999,5.517782560805999,5.517782560805999
6,7.0,4.0,4.0,4.0,5.5,5.5,5.886852807234542,5.886852807234542,5.886852807234542,5.886852807234542,6.488912798562504
7,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,9.0,4.0,4.0,4.0,4.0,4.0,4.0,5.4248287484320885,5.4248287484320885,5.4248287484320885,5.4248287484320885
9,10.0,0.0,0.0,2.52371901428583,2.52371901428583,4.246425246579403,5.793836475517569,7.218665223949658,7.218665223949658,7.218665223949658,7.519695219613639
10,11.0,4.0,5.0,6.892789260714372,6.892789260714372,7.323465818787765,7.323465818787765,7.323465818787765,7.656799152121098,7.656799152121098,7.9578291477850795
11,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,13.0,4.0,7.0,7.0,7.5,7.5,7.886852807234542,7.886852807234542,7.886852807234542,9.148712314377457,9.148712314377457
13,14.0,4.0,4.0,4.0,6.0,6.0,6.0,7.068621561324067,7.4019548946574,7.7174197714431285,7.7174197714431285
14,15.0,4.0,8.0,8.630929753571458,10.630929753571458,11.922959427791637,11.922959427791637,13.347788176223727,14.014454842890393,14.014454842890393,14.315484838554374
15,16.0,1.0,5.0,5.0,5.0,6.7227062322935724,7.109559039528114,7.821973413744159,7.821973413744159,9.083832920887074,9.083832920887074
16,17.0,4.0,4.0,4.0,4.0,4.861353116146786,6.408764345084952,6.408764345084952,6.408764345084952,7.355158975442139,8.559278958098064
17,18.0,3.0,3.0,4.892789260714372,6.392789260714372,7.684818934934552,8.458524549403634,8.458524549403634,8.791857882736968,10.053717389879884,10.053717389879884
18,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,20.0,4.0,8.0,10.523719014285831,11.023719014285831,12.746425246579403,14.293836475517569,15.718665223949658,17.051998557282992,17.68292831085445,18.586018297846394
20,21.0,4.0,8.0,8.0,10.0,10.0,10.0,11.42482874843209,11.42482874843209,11.42482874843209,11.42482874843209
21,22.0,2.0,3.0,3.0,3.0,3.430676558073393,4.204382172542476,4.204382172542476,4.871048839209143,5.186513715994872,6.390633698650797
22,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,24.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
24,25.0,0.0,1.0,3.52371901428583,5.52371901428583,5.954395572359223,5.954395572359223,5.954395572359223,7.287728905692556,7.287728905692556,7.287728905692556
25,26.0,0.0,4.0,6.52371901428583,8.523719014285831,8.954395572359225,8.954395572359225,8.954395572359225,8.954395572359225,8.954395572359225,9.556455563687187
26,27.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
27,28.0,0.0,0.0,2.52371901428583,2.52371901428583,4.246425246579403,4.633278053813944,4.633278053813944,4.633278053813944,4.633278053813944,4.9343080494779255
28,29.0,1.0,1.0,1.0,3.0,3.0,4.160558421703625,4.160558421703625,4.160558421703625,4.160558421703625,5.36467840435955
29,30.0,2.0,2.0,2.0,2.0,2.0,2.0,2.3562071871080223,3.022873853774689,4.284733360917604,4.284733360917604
30,31.0,4.0,8.0,8.630929753571458,10.630929753571458,12.35363598586503,12.35363598586503,12.35363598586503,12.35363598586503,13.615495493007945,13.615495493007945
31,32.0,4.0,8.0,8.0,8.0,8.861353116146786,8.861353116146786,8.861353116146786,8.861353116146786,8.861353116146786,8.861353116146786
32,33.0,4.0,8.0,8.630929753571458,10.630929753571458,12.35363598586503,13.514194407568654,14.939023156000744,16.272356489334076,17.53421599647699,17.53421599647699
33,34.0,4.0,8.0,10.523719014285831,10.523719014285831,10.523719014285831,12.071130243223998,12.071130243223998,13.404463576557331,13.71992845334306,14.020958449007042
