,F1,QueryNumber
0,0.06962785114045618,1.0
1,0.020242914979757085,2.0
2,0.08492569002123143,3.0
3,0.08290155440414508,4.0
4,0.3054545454545455,5.0
5,0.05170387779083431,6.0
6,0.0511727078891258,7.0
7,0.04406779661016949,8.0
8,0.03813559322033898,9.0
9,0.05459057071960298,10.0
10,0.13765182186234817,11.0
11,0.013651877133105802,12.0
12,0.050480769230769225,13.0
13,0.10151187904967603,14.0
14,0.2887700534759358,15.0
15,0.295774647887324,16.0
16,0.09302325581395349,17.0
17,0.05148005148005147,18.0
18,0.0502283105022831,19.0
19,0.09009009009009009,20.0
20,0.03955500618046971,21.0
21,0.23595505617977527,22.0
22,0.07659574468085106,23.0
23,0.057971014492753624,24.0
24,0.14516129032258066,25.0
25,0.3076923076923077,26.0
26,0.04912280701754385,27.0
27,0.2158273381294964,28.0
28,0.14473684210526314,29.0
29,0.04173913043478261,30.0
30,0.06799531066822978,31.0
31,0.0523038605230386,32.0
32,0.22772277227722773,33.0
33,0.1415929203539823,34.0
34,0.026954177897574125,35.0
35,0.0198019801980198,36.0
36,0.27142857142857146,37.0
37,0.09302325581395349,38.0
38,0.2898032200357782,39.0
39,0.2324393358876118,40.0
40,0.029082774049217004,41.0
41,0.08066429418742585,42.0
42,0.3515850144092219,43.0
43,0.24973319103521877,44.0
44,0.0462287104622871,45.0
45,0.03398058252427184,46.0
46,0.1112214498510427,47.0
47,0.055005500550055,48.0
48,0.07056229327453144,49.0
49,0.051157125456760044,50.0
50,0.3407942238267148,51.0
51,0.005298013245033113,52.0
52,0.05989583333333333,53.0
53,0.12291666666666667,54.0
54,0.04960835509138382,55.0
55,0.0708180708180708,56.0
56,0.1267080745341615,57.0
57,0.1981981981981982,58.0
58,0.24405377456049634,59.0
59,0.13620071684587812,60.0
60,0.11683848797250859,61.0
61,0.23485554520037277,62.0
62,0.06353240152477764,63.0
63,0.09555555555555557,64.0
64,0.17777777777777778,65.0
65,0.11297071129707112,66.0
66,0.033419023136246784,67.0
67,0.08894536213468869,68.0
68,0.029451137884872823,69.0
69,0.04113110539845759,70.0
70,0.011009174311926604,71.0
71,0.03065134099616858,72.0
72,0.039735099337748346,73.0
73,0.012019230769230768,74.0
74,0.04854368932038835,75.0
75,0.026666666666666665,76.0
76,0.11682242990654204,77.0
77,0.15469613259668508,78.0
78,0.09167671893848009,79.0
79,0.12903225806451613,80.0
80,0.055415617128463476,81.0
81,0.10964467005076142,82.0
82,0.06823027718550106,83.0
83,0.039946737683089206,84.0
84,0.06119951040391677,85.0
85,0.09533678756476684,86.0
86,0.0759493670886076,87.0
87,0.028199566160520606,88.0
88,0.04287515762925599,89.0
89,0.062189054726368154,90.0
90,0.3722025912838634,91.0
91,0.20187793427230047,92.0
92,0.3529411764705882,94.0
93,0.013824884792626727,95.0
94,0.021186440677966104,96.0
95,0.025912838633686687,97.0
96,0.04923076923076924,98.0
97,0.013351134846461948,99.0
98,0.025252525252525252,100.0
