,QueryNumber,1,2,3,4,5,6,7,8,9,10
0,1.0,0.0,0.0,0.0,0.0,0.0,0.17928673655324925,0.17928673655324925,0.17928673655324925,0.21583724568642698,0.3553494439125408
1,2.0,0.0,0.0,0.31546487678572877,0.5654648767857288,0.5654648767857288,0.5654648767857288,0.5654648767857288,0.5654648767857288,0.5654648767857288,0.5654648767857288
2,3.0,0.0,0.5,0.4634494908668223,0.4634494908668223,0.5133486987586696,0.5133486987586696,0.6784327382669854,0.6784327382669854,0.6784327382669854,0.6784327382669854
3,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5.0,1.0,0.625,0.4751172083949178,0.47727647586527483,0.46008181398288495,0.5083525929874846,0.606305280806814,0.7113131956862256,0.7361579273829456,0.7361579273829456
5,6.0,1.0,0.8,0.8224094343628168,0.8368926019063473,0.8368926019063473,0.8999911567395987,0.8999911567395987,0.8999911567395987,0.8999911567395987,0.8999911567395987
6,7.0,1.0,0.5714285714285714,0.8418270372449104,0.8418270372449104,0.8418270372449104,0.8418270372449104,0.8418270372449104,0.8418270372449104,0.8418270372449104,0.8418270372449104
7,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812
8,9.0,1.0,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.75,0.75
9,10.0,0.0,0.0,0.23981246656813146,0.20151514190050246,0.32779802213543596,0.4472486920099823,0.4472486920099823,0.5501738594472237,0.5745258158950287,0.5745258158950287
10,11.0,1.0,0.7142857142857143,0.9032699137989552,0.8477246107908828,0.8050813141617269,0.8135078868037044,0.8533144258263278,0.8905647869114076,0.8905647869114076,0.8905647869114076
11,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,13.0,0.75,0.5714285714285714,0.8549048706984327,0.8023337074607402,0.8553013964122061,0.8553013964122061,0.8553013964122061,0.8553013964122061,0.8553013964122061,0.8553013964122061
13,14.0,1.0,0.5,0.43187871689428314,0.6478180753414247,0.6478180753414247,0.6478180753414247,0.6478180753414247,0.6478180753414247,0.7159393584471415,0.7159393584471415
14,15.0,0.25,0.625,0.7149296749630493,0.7396673768007592,0.7229990651694689,0.7010999215905805,0.7906093739873187,0.8413909063736773,0.8413909063736773,0.8413909063736773
15,16.0,0.25,0.625,0.4751172083949178,0.5206652463984817,0.5379340610864766,0.6464571120862711,0.7619096744695095,0.7619096744695095,0.7619096744695095,0.7619096744695095
16,17.0,1.0,0.5,0.5956650955980078,0.7245884476238132,0.6714900166814274,0.7373140972193811,0.7373140972193811,0.7373140972193811,0.7909913229447975,0.7909913229447975
17,18.0,0.75,0.8571428571428571,0.674703945420833,0.7216541981035484,0.715574042071677,0.7953401147778181,0.8566223727596509,0.8566223727596509,0.8812397337214031,0.8812397337214031
18,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,20.0,1.0,0.625,0.7149296749630493,0.7604545425701508,0.7591903583744908,0.7773297725280376,0.7701520707490438,0.7833045725497568,0.825700831520668,0.8776120574770517
20,21.0,1.0,1.0,1.0,0.8403030283801005,0.8403030283801005,0.8403030283801005,0.8403030283801005,0.9467676761267002,0.9467676761267002,0.9467676761267002
21,22.0,0.6666666666666666,0.6,0.47909091485969846,0.41311732856427996,0.44597471223905466,0.568265131467089,0.6287225368008446,0.6428359078698411,0.7147865104237706,0.7491156721921373
22,23.0,0.0,0.0,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575,0.6309297535714575
23,24.0,0.25,0.125,0.11586237271670558,0.11586237271670558,0.11586237271670558,0.11586237271670558,0.2809464122250213,0.4354295758472954,0.4354295758472954,0.4354295758472954
24,25.0,1.0,0.5,0.4400468833579671,0.6015147651149598,0.5788982676285996,0.6126715736743645,0.6126715736743645,0.6126715736743645,0.6126715736743645,0.71779453499077
25,26.0,1.0,1.0,0.8800937667159342,0.7395454574298492,0.6919543964268173,0.7006073848099162,0.7006073848099162,0.7006073848099162,0.792232884720364,0.8796658316835423
26,27.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27,28.0,1.0,0.5,0.6199062332840657,0.5917893050277886,0.5917893050277886,0.7321603746217115,0.7321603746217115,0.7623982038789123,0.7623982038789123,0.7623982038789123
28,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
29,30.0,1.0,0.5,0.43187871689428314,0.43187871689428314,0.6178787561914664,0.701415503199169,0.701415503199169,0.701415503199169,0.701415503199169,0.701415503199169
30,31.0,1.0,1.0,1.0,0.8403030283801005,0.8596139055669277,0.8733683229467235,0.8733683229467235,0.8733683229467235,0.8733683229467235,0.9496081893352645
31,32.0,1.0,1.0,0.8637574337885663,0.8637574337885663,0.8637574337885663,0.9472941807962689,0.9472941807962689,0.9472941807962689,0.9472941807962689,0.9472941807962689
32,33.0,1.0,1.0,0.8201406500739014,0.8488636435746231,0.8671393540517235,0.8556625509272148,0.8225610740956141,0.806616066459961,0.8641448042567471,0.9329074313164084
33,34.0,1.0,1.0,1.0,1.0,0.8790780000963964,0.8909254103672668,0.871275058889617,0.871275058889617,0.8908084349829446,0.965366746267421
34,35.0,0.25,0.2,0.28963773745126703,0.2660167085785627,0.5470028398076869,0.5470028398076869,0.5470028398076869,0.5470028398076869,0.5984574950501419,0.5984574950501419
35,36.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
