,F1,QueryNumber
0,0.06380638063806379,1.0
1,0.016863406408094434,2.0
2,0.08086785009861933,3.0
3,0.061538461538461535,4.0
4,0.2975206611570248,5.0
5,0.04919786096256685,6.0
6,0.04873294346978558,7.0
7,0.04231311706629055,8.0
8,0.03015075376884422,9.0
9,0.05158264947245018,10.0
10,0.08126410835214447,11.0
11,0.012565445026178011,12.0
12,0.04777415852334419,13.0
13,0.09652509652509651,14.0
14,0.28205128205128205,15.0
15,0.29224904701397714,16.0
16,0.08229665071770334,17.0
17,0.04761904761904762,18.0
18,0.04656084656084657,19.0
19,0.08695652173913045,20.0
20,0.04121475054229935,21.0
21,0.26724137931034486,22.0
22,0.06797385620915034,23.0
23,0.056537102473498226,24.0
24,0.140597539543058,25.0
25,0.1956521739130435,26.0
26,0.045454545454545456,27.0
27,0.25165562913907286,28.0
28,0.18433179723502305,29.0
29,0.042879019908116385,30.0
30,0.08429926238145416,31.0
31,0.04994324631101022,32.0
32,0.15771812080536912,33.0
33,0.11301369863013698,34.0
34,0.02298850574712644,35.0
35,0.018348623853211007,36.0
36,0.21656050955414013,37.0
37,0.27826086956521745,38.0
38,0.3316412859560068,39.0
39,0.2375,40.0
40,0.02928870292887029,41.0
41,0.08133472367049009,42.0
42,0.30071599045346065,43.0
43,0.24334600760456276,44.0
44,0.04153005464480874,45.0
45,0.030973451327433628,46.0
46,0.10632447296058661,47.0
47,0.05383022774327122,48.0
48,0.06591143151390319,49.0
49,0.050493962678375415,50.0
50,0.3409415121255349,51.0
51,0.0049382716049382715,52.0
52,0.05508982035928144,53.0
53,0.11764705882352941,54.0
54,0.04423748544819558,55.0
55,0.07248018120045299,56.0
56,0.1175115207373272,57.0
57,0.1893860561914672,58.0
58,0.23946360153256702,59.0
59,0.11891891891891893,60.0
60,0.11612903225806454,61.0
61,0.2283185840707965,62.0
62,0.06519208381839349,63.0
63,0.09599999999999999,64.0
64,0.17426545086119552,65.0
65,0.11406096361848574,66.0
66,0.031287605294825514,67.0
67,0.08914285714285713,68.0
68,0.02916160388821385,69.0
69,0.03855421686746988,70.0
70,0.010938924339106653,71.0
71,0.02874251497005988,72.0
72,0.037252619324796274,73.0
73,0.013029315960912051,74.0
74,0.04597701149425287,75.0
75,0.026058631921824102,76.0
76,0.11681772406847936,77.0
77,0.14341846758349702,78.0
78,0.08587570621468926,79.0
79,0.11529933481152993,80.0
80,0.051511758118701005,81.0
81,0.10617760617760617,82.0
82,0.06451612903225806,83.0
83,0.036991368680641186,84.0
84,0.058127018299246505,85.0
85,0.09037328094302555,86.0
86,0.07377866400797609,87.0
87,0.026530612244897958,88.0
88,0.037610619469026545,89.0
89,0.05603448275862069,90.0
90,0.3751363140676118,91.0
91,0.1973684210526316,92.0
92,0.35937499999999994,94.0
93,0.014705882352941176,95.0
94,0.01968503937007874,96.0
95,0.02375809935205184,97.0
96,0.044989775051124746,98.0
97,0.011904761904761906,99.0
98,0.023781212841854932,100.0
